source_type,source_label,phone_feedback_topic,feedback_text,like_count,reply_count,video_time,video_time_label,sentiment_label,sentiment_score,rank_order
comment,评论,竞品对比,Apple watch 都有爱马仕版 今年 iPhone 17 pro 的橙色版完全可以出爱马仕版 售价还能加2000 库克还是良心了,205.0,9.0,,,负向,0.3006,3
comment,评论,系统功能,USB2 0实际上最高也就42MB s达不到60MB s,20.0,0.0,,,负向,0.0003,1
comment,评论,系统功能,那个侧面按钮我很喜欢哈哈哈 每次一进教室 就突然拿出手机按两下 经常能抓到一些学生带手机或者吃东西讲话,15.0,3.0,,,正向,0.9825,2
comment,评论,系统功能,这代信号如何啊,6.0,0.0,,,中性,0.5963,3
comment,评论,续航充电,air漂亮是真的漂亮 亮面钛金属质感太棒了 只是竟然只有一个扬声器 我对官网上标的电池时长表示存疑 并且国内发售时间遥遥无期 不敢想象要是它有双扬能插实体sim卡的话 估计我就直接当主力机用了,398.0,41.0,,,负向,0.3305,1
comment,评论,续航充电,续航是真的标准版比pro还长 还是小编出错了 真的不敢相信标准版续航那么强 比pro长比pm短几分钟 Really,351.0,25.0,,,负向,0.0107,2
comment,评论,续航充电,17p今年的续航可以不带充电宝出门吗 手里的14必须挂尿袋好难受,29.0,4.0,,,负向,0.3457,3
danmaku,弹幕,价格购买,谈笑间送走一台古董6plus,,,35.22,00:35,正向,0.7235,1
danmaku,弹幕,价格购买,17pro壳子在哪买,,,458.688,07:38,负向,0.1485,2
danmaku,弹幕,价格购买,没搞错吗标准版,,,668.317,11:08,负向,0.1559,3
danmaku,弹幕,外观设计,Pro有其他颜色吗,,,2.451,00:02,中性,0.4874,1
danmaku,弹幕,外观设计,懂钛合金吗,,,36.97,00:36,中性,0.4968,2
danmaku,弹幕,外观设计,我觉得这款深蓝色挺好看的,,,562.75,09:22,正向,0.9805,3
danmaku,弹幕,影像相机,刚才的意思该不会是只有摄像头越大的变化吧,,,152.177,02:32,中性,0.5221,1
danmaku,弹幕,影像相机,这个镜头拍的太好了,,,157.6,02:37,中性,0.4005,2
danmaku,弹幕,影像相机,两真一假摄像头,,,254.492,04:14,中性,0.4184,3
danmaku,弹幕,性能散热,17pm打王者也发热怎么办,,,74.642,01:14,中性,0.468,1
danmaku,弹幕,竞品对比,说得好 但是我选Mate 80 Pro,,,0.28,00:00,中性,0.5552,1
danmaku,弹幕,竞品对比,库克是不是在那里,,,119.46,01:59,负向,0.3453,2
danmaku,弹幕,竞品对比,这东西10年前就开始出现在安卓手机上了,,,621.446,10:21,正向,0.9396,3
danmaku,弹幕,系统功能,充电接口快被干掉了,,,292.88,04:52,负向,0.131,1
danmaku,弹幕,系统功能,按钮定太多用不完了,,,1227.592,20:27,负向,0.0522,2
danmaku,弹幕,系统功能,我甚至刚注意到这个按钮,,,1228.057,20:28,负向,0.1596,3
